nome;valor;categoria;tipo;quartos;banheiros;area;detalhes;logradouro
Hotel fazenda próximo de Itaporanga;R$ 1.490.000;Comércio e indústria;Não definido;Não definido;Não definido;180000m²;Não definido;Não definido
Apartamento com vista especial - Ubyratan Maia;R$ 470.000;Apartamentos;Venda - apartamento padrão;3;3;94m²;Área de serviço, Armários embutidos, Armários na cozinha, Varanda;Não definido
Maikai Lote nascente grande de esquina;R$ 470.000;Terrenos, sítios e fazendas;Terrenos;Não definido;Não definido;653m²;Não definido;Não definido
Parque das Aves | Apartamento no São Conrado | 3 Quartos;R$ 140.010;Apartamentos;Venda - apartamento padrão;3;1;62m²;Área de serviço, Churrasqueira, Varanda, Piscina;Rua João Batista Machado
Imóvel de 3/4 com lazer no Condomínio Parque das Aves;R$ 140.012;Apartamentos;Venda - apartamento padrão;3;1;62m²;Área de serviço, Churrasqueira, Varanda, Piscina;Rua João Batista Machado
Excelente apto no Parque das Aves - 3/4 - Área de lazer completa;R$ 140.011;Apartamentos;Venda - apartamento padrão;3;1;62m²;Área de serviço, Churrasqueira, Varanda, Piscina;Rua João Batista Machado
Confira! Parque das Aves - 3/4 - Amplo - Varanda - Completo;R$ 140.013;Apartamentos;Venda - apartamento padrão;3;1;62m²;Área de serviço, Churrasqueira, Varanda, Piscina;Rua João Batista Machado
Condomínio Parque das Aves / 3 Quartos / 1 Garagem / Varanda;R$ 140.014;Apartamentos;Venda - apartamento padrão;3;1;62m²;Área de serviço, Churrasqueira, Varanda, Piscina;Rua João Batista Machado
CAC_11   Vendo apto 3/4, sul leste c/ elevador;R$ 177.000;Apartamentos;Venda - apartamento padrão;3;1;59m²;Área de serviço, Varanda;Avenida Marginal II (Cond BemViver)
Casa na Atalaia/Coroa do Meio;R$ 800.000;Casas;Venda - casa em rua pública;3;4;200m²;Área de serviço, Armários na cozinha, Armários embutidos, Mobiliado, Ar condicionado, Churrasqueira, Varanda, Quarto de serviço;Rua Doutor Yolando Vieira de Melo
Mansão Cartier / 4 Suítes / 244 m²>;R$ 1.950.000;Apartamentos;Venda - apartamento padrão;4;5 ou mais;244m²;Não definido;Avenida Governador Paulo Barreto de Menezes - de 1414/1415 a 3597/3598
Alugo casa no 1 piso, na Rua Bahia, Siq Campos;R$ 1.000;Casas;Aluguel - casa em rua pública;3;Não definido;90m²;Área de serviço, Varanda;Rua Bahia - de 136/137 ao fim
Terraços beira mar ;R$ 680.000;Apartamentos;Venda - apartamento padrão;3;5 ou mais;110m²;Área de serviço, Armários embutidos, Armários na cozinha, Ar condicionado, Churrasqueira, Varanda, Academia, Piscina, Quarto de serviço;Não definido
Apartamento com 3/4 no Doce Vida Flora;R$ 110.000;Apartamentos;Venda - apartamento padrão;3;1;Não definido;Não definido;Não definido
Casa no Conjunto Jardim III - Nossa Senhora do Socorro/SE;R$ 37.114;Casas;Venda - casa em rua pública;3;1;56m²;Não definido;Não definido
Saia já do aluguel , Compre seu APÊ Belo Jardim;R$ 111.000;Apartamentos;Venda - apartamento padrão;2;1;48m²;Piscina, Academia, Salão de festas;Não definido
Terreno Praia do Saco, frente Mar 7mil metros quadrados;R$ 0;Terrenos, sítios e fazendas;Terrenos;Não definido;Não definido;7000m²;Não definido;Rua Deputado Clóvis Rollemberg
Apartamento para venda possui 58 metros quadrados com 3 quartos em Centro - Barra dos Coqu;R$ 110.000;Apartamentos;Venda - apartamento padrão;3;1;58m²;Piscina, Salão de festas;Não definido
Bela Vista | Casa de Cond. no Porto Dantas | 2/4 | Lazer Completo;R$ 170.001;Casas;Venda - casa em condominio fechado;2;2;60m²;Área de serviço, Varanda;Avenida General Euclides Figueiredo - lado par
Vendo Casa no Porto Dantas - Bela Vista Cond, Clube - 2/4;R$ 170.002;Casas;Venda - casa em condominio fechado;2;2;60m²;Área de serviço, Varanda;Avenida General Euclides Figueiredo - lado par
Casa de Condomínio! 2/4 - C. Bela Vista com lazer completo!;R$ 170.003;Casas;Venda - casa em condominio fechado;2;2;60m²;Área de serviço, Varanda;Avenida General Euclides Figueiredo - lado par
More em casa no Porto Dantas com toda segurança de um condomínio! Bela Vista;R$ 170.004;Casas;Venda - casa em condominio fechado;2;2;60m²;Área de serviço, Varanda;Avenida General Euclides Figueiredo - lado par
Casa no Condomínio Bela Vista -  2/4 - Porto Dantas;R$ 170.005;Casas;Venda - casa em rua pública;2;2;60m²;Área de serviço, Varanda;Avenida General Euclides Figueiredo - lado par
Casa no interior;R$ 0;Casas;Venda - casa em rua pública;3;3;0m²;Área de serviço, Armários na cozinha, Armários embutidos, Mobiliado, Churrasqueira, Varanda, Quarto de serviço;Não definido
Apartamento amplo, 2 suítes, vista para o Parque dos Cajueiros, na Farolândia;R$ 563.000;Apartamentos;Venda - apartamento padrão;3;4;160m²;Salão de festas, Academia, Piscina;Rua E (Lot Sr do Bonfim)
Vendo Excelente apt  Condomínio Beau Rivage Plaza R$480.000,00;R$ 480.000;Apartamentos;Venda - apartamento padrão;4;4;150m²;Área de serviço, Armários na cozinha, Varanda, Academia, Piscina, Quarto de serviço;Avenida Deputado Pedro Valadares - lado ímpar
"""Vituose    -  Reformado,";R$ 415.375;Apartamentos;Venda - apartamento padrão;3;2;78m²;Não definido;Rua Renato Santos Teixeira
Apartamento para venda com 85 metros quadrados com 2 quartos em Aeroporto - Aracaju;R$ 215.000;Apartamentos;Venda - apartamento padrão;2;2;85m²;Não definido;Rua Júlio César Leite
Apartamento a venda com 3 quartos e suíte MOBILIADO! Encantos do Bosque em Jabotiana;R$ 250.000;Apartamentos;Venda - apartamento padrão;3;2;63m²;Academia, Mobiliado, Piscina, Salão de festas;Rua Cinco (Cond Vivendas/Encantos do Bosque)
TERRENO EXCELENTE OPORTUNIDADE 22.000,00;R$ 22.000;Terrenos, sítios e fazendas;Terrenos;Não definido;Não definido;15m²;Não definido;Não definido
Kit net rosa maria;;Casas;Aluguel - casa em rua pública;1;1;Não definido;Não definido;Não definido
Restaurante no São José em Aracaju, Lucrando e em Operação;R$ 0;Comércio e indústria;Não definido;Não definido;Não definido;Não definido;Não definido;Não definido
Apartamento para aluguel possui 46 metros quadrados com 2 quartos;R$ 650;Apartamentos;Aluguel - apartamento padrão;2;1;46m²;Salão de festas, Piscina;Não definido
Chave Casa Lajeada Em Aracaju No Conjunto Horto Santa Maria;R$ 30.000;Casas;Venda - casa em rua pública;2;1;Não definido;Área de serviço, Varanda;Avenida Valter Barreto
Casa espaçosa com quintal e varanda - 200m² - Aeroporto;R$ 300.008;Casas;Venda - casa em rua pública;2;1;200m²;Área de serviço, Varanda;Rua dos Lírios
Casa com 200m² no Aeroporto | Quintal espaçoso;R$ 300.006;Casas;Venda - casa em rua pública;2;1;200m²;Área de serviço, Varanda;Rua dos Lírios
Casa c/ quintal amplo no Aeroporto - 200m² ;R$ 300.007;Casas;Venda - casa em rua pública;2;1;200m²;Área de serviço, Varanda;Rua dos Lírios
Casa no Aeroporto - 2 Quartos - Área ampla de 200m²;R$ 300.005;Casas;Venda - casa em rua pública;2;1;200m²;Área de serviço, Varanda;Rua dos Lírios
Ótima casa de 200m² / Aeroporto / 2 Quartos / Varanda ventilada;R$ 300.009;Casas;Venda - casa em rua pública;2;1;200m²;Área de serviço, Varanda;Rua dos Lírios
Casa com 3/4, suíte, Bom acabamento. ;R$ 209.000;Casas;Venda - casa em rua pública;3;2;Não definido;Área de serviço, Varanda;Não definido
Ed Grace, 301 - Alugo Apartamento com 3 Quartos - Cond. Solar Monte Carlo - Treze de Julho;R$ 320.000;Apartamentos;Venda - apartamento padrão;3;3;105m²;Não definido;Avenida Professor Acrísio Cruz - de 2 ao fim - lado par
Life jabotiana *,;R$ 280.000;Apartamentos;Venda - apartamento padrão;3;2;Não definido;Não definido;Avenida Antônio Fagundes Santana
Life jabotiana *,;R$ 280.000;Apartamentos;Venda - apartamento padrão;3;2;Não definido;Não definido;Avenida Antônio Fagundes Santana
Apartamento temporada praia do saco;R$ 3.500;Temporada;Apartamento;2;Não definido;Não definido;Não definido;Não definido
Life jabotiana *,;R$ 280.000;Apartamentos;Venda - apartamento padrão;3;2;Não definido;Não definido;Avenida Antônio Fagundes Santana
Vende-se Casa em Canindé-SE no centro ao lado do hospital *;R$ 199.000;Casas;Venda - casa em rua pública;4;2;382m²;Área de serviço, Armários na cozinha, Varanda, Quarto de serviço;Não definido
Life jabotiana *,;R$ 280.000;Apartamentos;Venda - apartamento padrão;3;2;Não definido;Não definido;Avenida Antônio Fagundes Santana
Porto Belo | Apart. de 3 Quartos | 2 Banheiros | Bairro Luzia;R$ 180.005;Apartamentos;Venda - apartamento padrão;3;2;88m²;Área de serviço, Churrasqueira, Piscina;Rua Erundina Nobre Santos
Imóvel no Luzia com 3/4 / Porto Belo / Piscina / Quadra;R$ 180.006;Apartamentos;Venda - apartamento padrão;3;2;88m²;Área de serviço, Churrasqueira, Piscina;Rua Erundina Nobre Santos
Casa para Locação no Grageru;R$ 5.000;Casas;Aluguel - casa em rua pública;4;5 ou mais;10m²;Não definido;Rua José de Alencar Cardoso Neto
Porto Belo | Apart. de 3 Quartos | 2 Banheiros | Bairro Luzia;R$ 180.005;Apartamentos;Venda - apartamento padrão;3;2;88m²;Área de serviço, Churrasqueira, Piscina;Rua Erundina Nobre Santos
Imóvel no Luzia com 3/4 / Porto Belo / Piscina / Quadra;R$ 180.006;Apartamentos;Venda - apartamento padrão;3;2;88m²;Área de serviço, Churrasqueira, Piscina;Rua Erundina Nobre Santos
Casa para Locação no Grageru;R$ 5.000;Casas;Aluguel - casa em rua pública;4;5 ou mais;10m²;Não definido;Rua José de Alencar Cardoso Neto
Apartamento no Luzia com 3/4 e 88m² | Cond. Porto Belo;R$ 180.008;Apartamentos;Venda - apartamento padrão;3;2;88m²;Área de serviço, Churrasqueira, Piscina;Rua Erundina Nobre Santos
Condomínio Porto Belo no Luzia - 3/4 - DCE - 1 Garagem - Lazer;R$ 180.009;Apartamentos;Venda - apartamento padrão;3;2;88m²;Área de serviço, Churrasqueira, Piscina;Rua Erundina Nobre Santos
Apartamento no Luzia com lazer completo | 3/4 | Porto Belo;R$ 180.007;Apartamentos;Venda - apartamento padrão;3;2;88m²;Área de serviço, Churrasqueira, Piscina;Rua Erundina Nobre Santos
Life jabotiana *,;R$ 280.000;Apartamentos;Venda - apartamento padrão;3;2;Não definido;Não definido;Avenida Antônio Fagundes Santana
Casa a venda na Jabotiana (Sol Nascente);R$ 600.000;Casas;Venda - casa em rua pública;4;4;160m²;Não definido;Avenida Farmacêutica Cezartina Régis
Apartamento à venda no Jabotiana;R$ 120.000;Apartamentos;Venda - apartamento padrão;2;1;10m²;Não definido;Avenida Presidente Tancredo Neves - de 2697 a 5655 - lado ímpar
Jardins de londres ;R$ 700.000;Apartamentos;Venda - apartamento padrão;3;3;Não definido;Não definido;Não definido
Casa à venda no São José;R$ 800.000;Casas;Venda - casa em rua pública;3;3;720m²;Varanda;Rua Campo do Brito - lado par
Terreno à venda no bairro Aeroporto;R$ 140.000;Terrenos, sítios e fazendas;Terrenos;Não definido;Não definido;200m²;Não definido;Rua Agenor Costa Vieira
Lindo Apartamento no Arboris Jabotiana !!;R$ 360.000;Apartamentos;Venda - apartamento padrão;3;2;Não definido;Não definido;Não definido
Casa troco no Melicio Machado ;R$ 1.000.000;Casas;Venda - casa em condominio fechado;5 ou mais;5 ou mais;400m²;Área de serviço, Armários na cozinha, Armários embutidos, Varanda, Quarto de serviço;Não definido
// Doce vida Acqua  2/4  !!;R$ 155.018;Apartamentos;Venda - apartamento padrão;2;1;Não definido;Academia, Área de serviço, Churrasqueira, Piscina, Salão de festas, 10;Não definido
.. Casa Ravines alto padrão !!;R$ 1.200.031;Casas;Venda - casa em condominio fechado;5 ou mais;5 ou mais;275m²;Ar condicionado, Piscina, Armários embutidos, Varanda, Área de serviço, Churrasqueira, Quarto de serviço, Porteiro 24h;Não definido
// Morada das Arvores Adélia Franco !!;R$ 290.017;Apartamentos;Venda - apartamento padrão;4;3;123m²;Varanda, Área de serviço, Churrasqueira, Quarto de serviço, Piscina, Salão de festas, 10;Avenida Adélia Franco - até 9998 - lado par
// Beau Rivage 150m² Jardins aceita permuta //;R$ 480.016;Apartamentos;Venda - apartamento padrão;4;Não definido;150m²;Academia, Varanda, Área de serviço, Churrasqueira, Quarto de serviço, Piscina, Salão de festas, 10;Avenida Presidente Tancredo Neves - de 2002 a 2200 - lado par
// Terreno na Av Mario Jorge de esquina //;R$ 950.035;Terrenos, sítios e fazendas;Terrenos;Não definido;Não definido;660m²;Não definido;Avenida Mário Jorge Menezes Vieira
// Terreno 660m2 Av. Mario Jorge prox ao petrox //;R$ 950.039;Terrenos, sítios e fazendas;Terrenos;Não definido;Não definido;660m²;Não definido;Avenida Mário Jorge Menezes Vieira
// Coroa do meio prox ao posto pretrox //;R$ 950.014;Terrenos, sítios e fazendas;Terrenos;Não definido;Não definido;660m²;Não definido;Avenida Mário Jorge Menezes Vieira
// Alphaville 2 na saneamento oportunidade!!!! //;R$ 210.006;Apartamentos;Venda - apartamento padrão;3;Não definido;89m²;Varanda, Área de serviço, Churrasqueira, Piscina, Salão de festas, 10;Não definido
+ Condomínio Praias do Atlantico;R$ 180.001;Apartamentos;Venda - apartamento padrão;3;2;Não definido;Academia, Área de serviço, Churrasqueira, Quarto de serviço, Salão de festas, 10;Não definido
Condomínio Águas do Poxim -;R$ 160.050;Apartamentos;Venda - apartamento padrão;3;1;60m²;Armários embutidos, Área de serviço, Churrasqueira, Piscina, Salão de festas, 10;Avenida Silvério Leite Fontes - lado ímpar
Condomínio Mirante do Santa Lúcia +;R$ 130.116;Apartamentos;Venda - apartamento padrão;2;1;Não definido;Varanda, Área de serviço, Churrasqueira, Piscina, Salão de festas, 10;Não definido
- Condomínio Solares;R$ 160.110;Apartamentos;Venda - apartamento padrão;2;2;78m²;Armários embutidos, Área de serviço, Churrasqueira, Piscina, Salão de festas, 10;Não definido
Condomínio Reserva do Santa Lúcia !;R$ 130.061;Apartamentos;Venda - apartamento padrão;2;1;56m²;Varanda, Área de serviço, Churrasqueira, Piscina, Salão de festas, 10;Não definido
Condomínio Recanto do Poxim /;R$ 165.048;Apartamentos;Venda - apartamento padrão;3;1;Não definido;Armários embutidos, Área de serviço, Churrasqueira, Piscina, Salão de festas, 10;Não definido
Portal da Barra +;R$ 130.168;Apartamentos;Venda - apartamento padrão;3;1;64m²;Não definido;Avenida Silvério Leite Fontes - lado ímpar
+ Condominio Exclusive Jabotiana;R$ 340.200;Apartamentos;Venda - apartamento padrão;3;2;Não definido;Academia, Armários embutidos, Varanda, Área de serviço, Churrasqueira, Piscina, Salão de festas, 10;Não definido
+ Condomínio Jardim Primavera;R$ 180.104;Apartamentos;Venda - apartamento padrão;3;1;Não definido;Área de serviço, Churrasqueira, Quarto de serviço, Piscina, Salão de festas, 10;Via Bela (Cond Sta Felicidade)
Condomínio José Milton Machado .;R$ 650.069;Apartamentos;Venda - apartamento padrão;3;1;Não definido;Não definido;Não definido
> Residencial Rio Poxim;R$ 95.059;Apartamentos;Venda - apartamento padrão;2;1;Não definido;Salão de festas, 10;Não definido
Edificio Tropical #;R$ 138.109;Apartamentos;Venda - apartamento padrão;2;2;62m²;Área de serviço, Churrasqueira, Salão de festas, 10;Não definido
Condomínio Vila de Portugal >;R$ 95.160;Apartamentos;Venda - apartamento padrão;2;1;Não definido;Não definido;Não definido
+ Condomínio Jardim Primavera;R$ 185.033;Apartamentos;Venda - apartamento padrão;3;2;Não definido;Armários embutidos, Área de serviço, Churrasqueira, Quarto de serviço, Piscina, Salão de festas, 10;Avenida Silvério Leite Fontes - lado ímpar
< Condomínio Rio Poxim_Jabotiana;R$ 115.150;Apartamentos;Venda - apartamento padrão;2;1;Não definido;Área de serviço, Churrasqueira, Salão de festas, 10;Não definido
+ Condomínio Caminho das Águas;R$ 130.089;Apartamentos;Venda - apartamento padrão;3;1;Não definido;Área de serviço, Churrasqueira, Piscina, Salão de festas, 10;Não definido
/ Residencial Villa Vitória;R$ 115.034;Apartamentos;Venda - apartamento padrão;3;1;Não definido;Área de serviço, Salão de festas, 10;Não definido
Condomínio Grand Ville Residence .;R$ 120.198;Apartamentos;Venda - apartamento padrão;2;1;48m²;Área de serviço, Churrasqueira, Piscina, Salão de festas, 10;Não definido
Condomínio Vivendas do Bosque +;R$ 197.068;Apartamentos;Venda - apartamento padrão;3;2;Não definido;Varanda, Área de serviço, Churrasqueira, Piscina, Salão de festas, 10;Não definido
Condomínio Mar Azul .;R$ 170.049;Apartamentos;Venda - apartamento padrão;3;1;Não definido;Não definido;Não definido
< Condomínio Alpha Class;R$ 140.183;Apartamentos;Venda - apartamento padrão;3;2;Não definido;Não definido;Não definido
# Beira Mar;R$ 340.166;Apartamentos;Venda - apartamento padrão;0;2;Não definido;Área de serviço, Churrasqueira, Quarto de serviço, Piscina, Salão de festas, 10;Não definido
Condomínio Via Solares <;R$ 150.059;Apartamentos;Venda - apartamento padrão;3;1;Não definido;Armários embutidos, Varanda, Área de serviço, Churrasqueira, Piscina, Salão de festas, 10;Não definido
. Condomínio Viamonte;R$ 150.115;Apartamentos;Venda - apartamento padrão;2;1;55m²;Academia, Varanda, Área de serviço, Churrasqueira, Piscina, Salão de festas, 10;Não definido
/ Condomínio Encantos do Bosque;R$ 195.184;Apartamentos;Venda - apartamento padrão;0;1;69m²;Não definido;Avenida Silvério Leite Fontes - lado ímpar
Condomínio Parque das Fontes >;R$ 159.061;Apartamentos;Venda - apartamento padrão;2;2;Não definido;Academia, Armários embutidos, Varanda, Área de serviço, Churrasqueira, Piscina, Salão de festas, 10;Não definido
Condomínio Tenisson Fontes #;R$ 100.167;Apartamentos;Venda - apartamento padrão;2;1;Não definido;Academia, Área de serviço, Churrasqueira, Salão de festas, 10;Não definido
+ Condomínio Splendor Park;R$ 230.139;Apartamentos;Venda - apartamento padrão;3;2;70m²;Armários embutidos, Varanda, Área de serviço, Churrasqueira, Piscina, Salão de festas, 10;Não definido
Condomínio Parque das Fontes >;R$ 159.061;Apartamentos;Venda - apartamento padrão;2;2;Não definido;Academia, Armários embutidos, Varanda, Área de serviço, Churrasqueira, Piscina, Salão de festas, 10;Não definido
Condomínio Tenisson Fontes #;R$ 100.167;Apartamentos;Venda - apartamento padrão;2;1;Não definido;Academia, Área de serviço, Churrasqueira, Salão de festas, 10;Não definido
+ Condomínio Splendor Park;R$ 230.139;Apartamentos;Venda - apartamento padrão;3;2;70m²;Armários embutidos, Varanda, Área de serviço, Churrasqueira, Piscina, Salão de festas, 10;Não definido
Sala Comercial -;R$ 70.059;Comércio e indústria;Não definido;Não definido;Não definido;30m²;Não definido;Não definido
- Casa no Conjunto JK;R$ 360.007;Casas;Venda - casa em rua pública;3;2;Não definido;Varanda, Área de serviço, Churrasqueira, Quarto de serviço;Avenida Silvério Leite Fontes - lado ímpar
Excelente casa! +;R$ 360.157;Casas;Venda - casa em rua pública;4;2;268m²;Não definido;Não definido
> Condomínio Montserrat;R$ 150.034;Apartamentos;Venda - apartamento padrão;3;1;65m²;Varanda, Área de serviço, Churrasqueira, Piscina, Salão de festas, 10;Não definido
< Condomínio Reserva das Flores;R$ 285.149;Apartamentos;Venda - apartamento padrão;3;2;71m²;Academia, Armários embutidos, Varanda, Área de serviço, Churrasqueira, Piscina, Salão de festas, 10;Via Bela (Cond Sta Felicidade)
> Condomínio Vila dos Mares;R$ 215.194;Apartamentos;Venda - apartamento padrão;3;2;Não definido;Academia, Área de serviço, Churrasqueira, Piscina, Salão de festas, 10;Não definido
Condomínio Villa das Águas #;R$ 235.094;Apartamentos;Venda - apartamento padrão;2;2;85m²;Ar condicionado, Academia, Armários embutidos, Varanda, Área de serviço, Churrasqueira, Piscina, Salão de festas, 10;Não definido
Casa no Bairro José Conrado de Araujo;R$ 320.000;Casas;Venda - casa em rua pública;3;1;200m²;Não definido;Rua Maria Afra Cortes Santos
casa no suissa ;R$ 650.000;Casas;Venda - casa em rua pública;3;2;0m²;Armários na cozinha, Varanda;Rua Aloísio Braga
Life jabotiana *,;R$ 280.000;Apartamentos;Venda - apartamento padrão;3;2;Não definido;Não definido;Avenida Antônio Fagundes Santana
Life jabotiana *,;R$ 280.000;Apartamentos;Venda - apartamento padrão;3;2;Não definido;Não definido;Avenida Antônio Fagundes Santana
Life jabotiana *,;R$ 280.000;Apartamentos;Venda - apartamento padrão;3;2;Não definido;Não definido;Avenida Antônio Fagundes Santana
Sala Comercial em Galeria na Atalaia;R$ 800;Comércio e indústria;Não definido;Não definido;Não definido;24m²;Não definido;Rua João Carvalho de Aragão
Life jabotiana *,;R$ 280.000;Apartamentos;Venda - apartamento padrão;3;2;Não definido;Não definido;Avenida Antônio Fagundes Santana
Vila Dos Mares;R$ 250.000;Apartamentos;Venda - apartamento padrão;3;2;Não definido;Área de serviço, Armários embutidos, Armários na cozinha, Mobiliado, Ar condicionado, Churrasqueira, Varanda, Academia, Piscina;Não definido
Imovel de grande porte;R$ 70.000;Comércio e indústria;Não definido;Não definido;Não definido;9000m²;Não definido;Avenida Empresário José Carlos Silva
Aracaju - Terreno Padrão - Atalaia;R$ 1.500.000;Terrenos, sítios e fazendas;Terrenos;Não definido;Não definido;875m²;Não definido;Rua Deputado Clóvis Rollemberg
Aracaju - Casa Padrão - Coroa do Meio;R$ 3.500;Casas;Aluguel - casa em rua pública;5 ou mais;3;192m²;Não definido;Rua Poeta José Salles de Campos
Aracaju - Apartamento Padrão - Coroa do Meio;R$ 320.000;Apartamentos;Venda - apartamento padrão;2;1;92m²;Não definido;Avenida Conselheiro João Moreira Filho - de 1/2 ao fim
Aracaju - Casa Padrão - Dezoito do Forte;R$ 1.000;Casas;Aluguel - casa em rua pública;0;1;140m²;Não definido;Rua José Vieira de Matos
Life jabotiana *,;R$ 280.000;Apartamentos;Venda - apartamento padrão;3;2;Não definido;Não definido;Avenida Antônio Fagundes Santana
Tem conversa!!;R$ 75.000;Casas;Venda - casa em rua pública;2;1;Não definido;Não definido;Não definido
Casa bem localizada na piabeta;R$ 65.000;Casas;Venda - casa em rua pública;2;1;Não definido;Não definido;Não definido
Chave Casa Lajeada Em Aracaju No Conjunto Horto Santa Maria;R$ 30.000;Casas;Venda - casa em rua pública;2;1;Não definido;Área de serviço, Varanda;Avenida Valter Barreto
LOTE TERRAS ALPHAVILLE  II - BARRA .;R$ 197.183;Terrenos, sítios e fazendas;Terrenos;Não definido;Não definido;315m²;Não definido;Não definido
CASA NO TERRAS ALPHAVILLE I - CASA !;R$ 680.175;Casas;Venda - casa em condominio fechado;3;4;Não definido;Não definido;Não definido
Casa na Av Carlos Burlamarqui Centro ~;R$ 305.039;Casas;Venda - casa em rua pública;5 ou mais;4;Não definido;Não definido;Não definido
> JARDINS DE LONDRES - OPORTUNIDADE;R$ 620.161;Apartamentos;Venda - apartamento padrão;3;3;106m²;Ar condicionado, Academia, Armários embutidos, Varanda, Área de serviço, Churrasqueira, Quarto de serviço, Piscina, Salão de festas, 10;Não definido
TERRAS ALPHAVILLE  II  - LOTE - BARRA DOS COQUEIROS !;R$ 189.157;Terrenos, sítios e fazendas;Terrenos;Não definido;Não definido;302m²;Não definido;Não definido
Ouro Verde - Leste #;R$ 930.122;Apartamentos;Venda - apartamento padrão;3;4;168m²;Ar condicionado, Academia, Armários embutidos, Varanda, Área de serviço, Churrasqueira, Quarto de serviço, Piscina, Salão de festas, 10;Não definido
, ALPHAVILLE SERGIPE - LOTE - BARRA DOS COQUEIROS;R$ 300.165;Terrenos, sítios e fazendas;Terrenos;Não definido;Não definido;480m²;Não definido;Não definido
- TERRAS ALPHAVILLE  II  - LOTE - BARRA;R$ 195.052;Terrenos, sítios e fazendas;Terrenos;Não definido;Não definido;311m²;Não definido;Avenida Silvério Leite Fontes - lado ímpar
~ Edf. Pituba;R$ 275.162;Apartamentos;Venda - apartamento padrão;3;3;110m²;Ar condicionado, Armários embutidos, Varanda, Área de serviço, Piscina, Salão de festas, 10;Via Bela (Cond Sta Felicidade)
Le Vert Boulevard - Reservado pra você no Augusto Franco - Farolandia;R$ 241.000;Apartamentos;Venda - apartamento padrão;2;2;58m²;Área de serviço, Varanda;Rua Alziro Zarur
, ALPHAVILLE SERGIPE - LOTE;R$ 282.050;Terrenos, sítios e fazendas;Terrenos;Não definido;Não definido;450m²;Não definido;Não definido
LOTE NO ALPHAVILLE SERGIPE ,;R$ 318.034;Terrenos, sítios e fazendas;Terrenos;Não definido;Não definido;510m²;Não definido;Não definido
Casa No Albano Franco #;R$ 140.080;Casas;Venda - casa em rua pública;2;2;Não definido;Ar condicionado, Ar condicionado, Armários embutidos, Área de serviço;Não definido
LOTE NO TERRAS ALPHAVILLE II -;R$ 195.180;Terrenos, sítios e fazendas;Terrenos;Não definido;Não definido;311m²;Não definido;Não definido
< Vila Verde - Sombra;R$ 210.182;Apartamentos;Venda - apartamento padrão;0;1;65m²;Ar condicionado, Armários embutidos, Varanda, Área de serviço, Churrasqueira, Piscina, Salão de festas, 10;Não definido
Vila Verde - 2/4 #;R$ 170.170;Apartamentos;Venda - apartamento padrão;2;2;52m²;Ar condicionado, Armários embutidos, Varanda, Área de serviço, Churrasqueira, Piscina, Salão de festas, 10;Não definido
~ Vila Verde 3/4;R$ 200.090;Apartamentos;Venda - apartamento padrão;3;2;62m²;Ar condicionado, Armários embutidos, Varanda, Área de serviço, Churrasqueira, Piscina, Salão de festas, 10;Não definido
. Lançamento Park Barra Mais Viver ..;R$ 146.019;Apartamentos;Venda - apartamento padrão;2;1;69m²;Academia, Varanda, Área de serviço, Churrasqueira, Piscina, Salão de festas, 10;Não definido
!! Vivendas do Bosque 3/4 jabotiana !;R$ 185.011;Apartamentos;Venda - apartamento padrão;3;2;66m²;Armários embutidos, Varanda, Área de serviço, Churrasqueira, Piscina, Salão de festas, 10;Rua Cinco (Cond Vivendas/Encantos do Bosque)
Manoel Messias de Jesus em Frente a Vila Militar;R$ 550.034;Apartamentos;Venda - apartamento padrão;4;4;125m²;Academia, Armários embutidos, Varanda, Área de serviço, Churrasqueira, Quarto de serviço, Piscina, Salão de festas, 10;Avenida Doutor José Calumby
// Maison Ville de Lourdes 124m  ² !;R$ 640.002;Apartamentos;Venda - apartamento padrão;4;4;124m²;Academia, Armários embutidos, Varanda, Área de serviço, Churrasqueira, Quarto de serviço, Piscina, Salão de festas, 10;Rua João Carvalho de Aragão
Aluguel Mobiliado Cond. Reserva Alto Verde 3/4 Suíte / Elevador / no Santa Lúcia;R$ 1.200;Apartamentos;Aluguel - apartamento padrão;3;2;65m²;Área de serviço, Armários embutidos, Armários na cozinha, Mobiliado, Churrasqueira;Não definido
/ Edifício Olímpio Campos leste vista mar 450.000,00;R$ 450.007;Apartamentos;Venda - apartamento padrão;4;4;180m²;Ar condicionado, Academia, Armários embutidos, Varanda, Área de serviço, Churrasqueira, Quarto de serviço, Piscina, Salão de festas, 10;Não definido
// Maison Ville de Lourdes //;R$ 640.039;Apartamentos;Venda - apartamento padrão;4;4;124m²;Academia, Armários embutidos, Varanda, Área de serviço, Churrasqueira, Quarto de serviço, Piscina, Salão de festas, 10;Rua João Carvalho de Aragão
.. Arte Nova em Nossa Senhora do Socorro ..;R$ 109.007;Apartamentos;Venda - apartamento padrão;2;1;55m²;Ar condicionado, Armários embutidos, Área de serviço, Churrasqueira, Piscina, Salão de festas, 10;Não definido
// Mansão Alfredo Tavares troca em imóvel de maior valor! //;R$ 850.022;Apartamentos;Venda - apartamento padrão;4;Não definido;180m²;Ar condicionado, Armários embutidos, Área de serviço, Churrasqueira, Quarto de serviço, Piscina, Salão de festas, 10;Não definido
> Jardim de Windsor oportunidade 287.000,00;R$ 287.028;Apartamentos;Venda - apartamento padrão;4;3;107m²;Não definido;Avenida Silvério Leite Fontes - lado ímpar
